
"Banco de México"

"Sistemas de pago de bajo valor"
"Apps móviles de los participantes enrolados en CoDi"

"Fecha de consulta: 27/04/2025 02:51:55"

""

"Título","Total de dispositivos Android enrolados","Dispositivos Android enrolados del Banco de México","Dispositivos Android enrolados de las instituciones financieras","Dispositivos Android enrolados de Accendo Banco, S.A.","Dispositivos Android enrolados de Banco Actinver, S.A.","Dispositivos Android enrolados de Opciones Empresariales del Noreste, S.A. de C.V.","Dispositivos Android enrolados de Banco Autofin México, S.A.","Dispositivos Android enrolados de Banco Azteca, S.A.","Dispositivos Android enrolados de Banco del Bajío, S.A.","Dispositivos Android enrolados de Banco Nacional de México, S.A.","Dispositivos Android enrolados de Banca Afirme, S.A.","Dispositivos Android enrolados de Banco Ahorro Famsa, S.A.","Dispositivos Android enrolados de BanCoppel, S.A.","Dispositivos Android enrolados de Banco Bancrea, S.A.","Dispositivos Android enrolados de Banco Nacional del Ejército, Fuerza Aérea y Armada","Dispositivos Android enrolados de Bankaool, S.A.","Dispositivos Android enrolados de Banco Mercantil del Norte, S.A.","Dispositivos Android enrolados de Banco Regional S.A.","Dispositivos Android enrolados de Bansi, S.A.","Dispositivos Android enrolados de Banco Base, S.A.","Dispositivos Android enrolados de BBVA Bancomer, S.A.","Dispositivos Android enrolados de Banco Monex, S.A.","Dispositivos Android enrolados de CIBanco, S.A.","Dispositivos Android enrolados de Banco Compartamos, S.A.","Dispositivos Android enrolados de Consubanco, S.A.","Dispositivos Android enrolados de Fincomún, Servicios Financieros Comunitarios, S.A. de C.V.","Dispositivos Android enrolados de Hey Banco, S.A.","Dispositivos Android enrolados de HSBC México, S.A.","Dispositivos Android enrolados de Banco Inbursa, S.A.","Dispositivos Android enrolados de Banco Inmobiliario Mexicano, S.A.","Dispositivos Android enrolados de Intercam Banco, S.A.","Dispositivos Android enrolados de Banca Mifel, S.A.","Dispositivos Android enrolados de Banco Multiva, S.A.","Dispositivos Android enrolados de Banco Pagatodo, S.A.","Dispositivos Android enrolados de Banco Sabadell, S.A.","Dispositivos Android enrolados de Banco Santander (México), S.A.","Dispositivos Android enrolados de Scotiabank Inverlat, S.A.","Dispositivos Android enrolados de Sistema de Transferencias y Pagos STP, S.A. de C.V.","Dispositivos Android enrolados de Operadora de Pagos Móviles de México, S.A. de C.V.","Dispositivos Android enrolados de Banco Ve Por Mas, S.A.","Dispositivos Android enrolados de los terceros desarrolladores","Dispositivos Android enrolados de Kimerkia, S.A. de C.V.","Dispositivos Android enrolados de Quetzalcóatl Sistemas, S.A. de C.V.","Dispositivos Android enrolados de National Soft de México de R.L. de C.V.","Dispositivos Android enrolados de WISECAP, S.A. de C.V.","Total de dispositivos iOS enrolados","Dispositivos iOS enrolados del Banco de México","Dispositivos iOS enrolados de las instituciones financieras","Dispositivos iOS enrolados de Banco Actinver, S.A.","Dispositivos iOS enrolados de Opciones Empresariales del Noreste, S.A. de C.V.","Dispositivos iOS enrolados de Banco Autofin México, S.A.","Dispositivos iOS enrolados de Banco Azteca, S.A.","Dispositivos iOS enrolados de Banco del Bajío, S.A.","Dispositivos iOS enrolados de Banco Nacional de México, S.A.","Dispositivos iOS enrolados de Banca Afirme, S.A.","Dispositivos iOS enrolados de Banco Ahorro Famsa, S.A.","Dispositivos iOS enrolados de BanCoppel, S.A.","Dispositivos iOS enrolados de Banco Bancrea, S.A.","Dispositivos iOS enrolados de Bankaool, S.A.","Dispositivos iOS enrolados de Banco Mercantil del Norte, S.A.","Dispositivos iOS enrolados de Banco Regional S.A.","Dispositivos iOS enrolados de Bansi, S.A.","Dispositivos iOS enrolados de Banco Base, S.A.","Dispositivos iOS enrolados de BBVA Bancomer, S.A.","Dispositivos iOS enrolados de Banco Monex, S.A.","Dispositivos iOS enrolados de CIBanco, S.A.","Dispositivos iOS enrolados de Banco Compartamos, S.A.","Dispositivos iOS enrolados de Consubanco, S.A.","Dispositivos iOS enrolados de Fincomún, Servicios Financieros Comunitarios, S.A. de C.V.","Dispositivos iOS enrolados de Hey Banco, S.A.","Dispositivos iOS enrolados de HSBC México, S.A.","Dispositivos iOS enrolados de Banco Inbursa, S.A.","Dispositivos iOS enrolados de Banco Inmobiliario Mexicano, S.A.","Dispositivos iOS enrolados de Intercam Banco, S.A.","Dispositivos iOS enrolados de Banca Mifel, S.A.","Dispositivos iOS enrolados de Banco Multiva, S.A.","Dispositivos iOS enrolados de Banco Pagatodo, S.A.","Dispositivos iOS enrolados de Banco Sabadell, S.A.","Dispositivos iOS enrolados de Banco Santander (México), S.A.","Dispositivos iOS enrolados de Scotiabank Inverlat, S.A.","Dispositivos iOS enrolados de Sistema de Transferencias y Pagos STP, S.A. de C.V.","Dispositivos iOS enrolados de Operadora de Pagos Móviles de México, S.A. de C.V.","Dispositivos iOS enrolados de Banco Ve Por Mas, S.A.","Dispositivos iOS enrolados de los terceros desarrolladores","Dispositivos iOS enrolados de Kimerkia, S.A. de C.V.","Dispositivos iOS enrolados de WISECAP, S.A. de C.V."
"Periodo disponible","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","01/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","01/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025","11/11/2019 - 21/04/2025"
"Periodicidad","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria"
"Cifra","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen","Volumen"
"Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad"
"Base","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aviso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tipo de información","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles"
"Fecha","SF335632","SF335648","SF338435","SF339761","SF335633","SF335634","SF335635","SF335636","SF335637","SF335638","SF335639","SF335640","SF335641","SF335642","SF335643","SF335644","SF335645","SF335646","SF335647","SF335649","SF335650","SF335651","SF335652","SF335653","SF335654","SF335655","SF364323","SF335656","SF335657","SF345940","SF335658","SF335659","SF335660","SF335661","SF335662","SF335663","SF335664","SF335665","SF335666","SF335667","SF338781","SF350481","SF345656","SF338782","SF343357","SF335668","SF335682","SF338436","SF335669","SF338433","SF335670","SF335671","SF335672","SF335673","SF335674","SF335675","SF335676","SF335677","SF335678","SF335679","SF335680","SF335681","SF335683","SF335684","SF335685","SF335686","SF335687","SF335688","SF335689","SF364324","SF335690","SF335691","SF345646","SF335692","SF335693","SF335694","SF335695","SF338434","SF335696","SF335697","SF335698","SF335699","SF335700","SF338783","SF350482","SF343358"
01/11/2019,N/E,N/E,0,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
11/11/2019,837202,39602,797600,N/E,124,327,0,18919,2775,118450,1219,8,29459,11,16215,58,21348,7235,0,68,516838,79,13,3154,7,215,0,2178,4756,N/E,528,688,30,2326,0,11299,16822,9,22232,210,0,N/E,N/E,N/E,N/E,264012,22196,241816,0,0,0,4114,1915,51319,289,0,0,19,0,14189,4782,17,55,130707,139,11,563,10,42,0,0,2838,N/E,539,491,0,199,0,6395,21218,12,1726,227,0,N/E,N/E
