
"Banco de México"

"Sistemas de pago de bajo valor"
"Cuentas validadas"

"Fecha de consulta: 27/04/2025 02:50:34"

""

"Título","Total de cuentas validadas","Cuentas validadas de ABC Capital, S.A.","Cuentas validadas de Accendo Banco, S.A.","Cuentas validadas de Banco Actinver, S.A.","Cuentas validadas de Banca Afirme, S.A.","Cuentas validadas de Opciones Empresariales del Noreste, S.A. de C.V.","Cuentas validadas de Banco Autofin México, S.A.","Cuentas validadas de Banco Azteca, S.A.","Cuentas validadas de Banco del Bajío, S.A.","Cuentas validadas de Banco Nacional de México, S.A.","Cuentas validadas de Banco Ahorro Famsa, S.A.","Cuentas validadas de BanCoppel, S.A.","Cuentas validadas de Banco Bancrea, S.A.","Cuentas validadas de Banco Nacional del Ejército, Fuerza Aérea y Armada","Cuentas validadas de Bankaool, S.A.","Cuentas validadas de Banco Mercantil del Norte, S.A.","Cuentas validadas de Banco Regional S.A.","Cuentas validadas de Banco del Ahorro Nacional y Servicios Financieros, S.N.C.","Cuentas validadas de Bansi, S.A.","Cuentas validadas de Banco Base, S.A.","Cuentas validadas de BBVA Bancomer, S.A.","Cuentas validadas de Banco Monex, S.A.","Cuentas validadas de CIBanco, S.A.","Cuentas validadas de Banco Compartamos, S.A.","Cuentas validadas de Consubanco, S.A","Cuentas validadas de Fundación Dondé Banco, S.A.","Cuentas validadas de Fincomún, Servicios Financieros Comunitarios, S.A. de C.V.","Cuentas validadas de HSBC México, S.A.","Cuentas validadas de Banco Inbursa, S.A.","Cuentas validadas de Banco Inmobiliario Mexicano, S.A.","Cuentas validadas de Intercam Banco, S.A.","Cuentas validadas de Banco Invex, S.A.","Cuentas validadas de Banca Mifel, S.A.","Cuentas validadas de Banco Multiva, S.A.","Cuentas validadas de Banco Pagatodo, S.A.","Cuentas validadas de Banco Sabadell, S.A.","Cuentas validadas de Banco Santander (México), S.A.","Cuentas validadas de Scotiabank Inverlat, S.A.","Cuentas validadas de Sistema de Transferencias y Pagos STP, S.A. de C.V.","Cuentas validadas de Operadora de Pagos Móviles de México, S.A de C.V.","Cuentas validadas de Banco Ve Por Mas, S.A."
"Periodo disponible","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025","24/05/2020 - 21/04/2025"
"Periodicidad","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria"
"Cifra","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos"
"Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad"
"Base","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aviso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tipo de información","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles"
"Fecha","SF335591","SF335592","SF339757","SF335593","SF335594","SF335595","SF335596","SF335597","SF335598","SF335599","SF335600","SF335601","SF335602","SF335603","SF335604","SF335605","SF335606","SF335607","SF335608","SF335609","SF335610","SF335611","SF335612","SF335613","SF335614","SF335615","SF335616","SF335617","SF335618","SF335619","SF335620","SF335621","SF335622","SF335623","SF335624","SF335625","SF335626","SF335627","SF335628","SF350480","SF335629"
24/05/2020,20477,0,N/E,0,41,5,2,718,21,1352,12,2571,0,20,0,339,362,0,0,1,12572,0,0,13,0,0,1,863,83,0,6,0,5,0,24,0,1084,373,8,0,1
25/05/2020,9422,0,N/E,0,11,2,1,294,9,502,13,942,1,9,0,161,141,0,0,0,5689,0,0,2,0,0,0,1047,27,0,1,0,3,0,8,0,411,143,5,0,0
